EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
535104,Shooting Permit,03/04/2020 08:00:00 AM,03/04/2020 10:00:00 PM,02/27/2020 03:35:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   61 STREET and EAST   62 STREET,  EAST   61 STREET between 5 AVENUE and MADISON AVENUE,  EAST   60 STREET between 5 AVENUE and MADISON AVENUE,  CENTRAL PARK WEST between WEST   71 STREET and WEST   73 STREET,  WEST   71 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,  WEST   72 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,  EAST   62 STREET between 5 AVENUE and MADISON AVENUE,  CENTRAL PARK WEST between WEST   81 STREET and WEST   85 STREET",Manhattan,"64, 7, 8","19, 20, 22",Film,Feature,United States of America,"10022, 10023, 10024, 10025, 10065"
535305,Shooting Permit,03/04/2020 08:00:00 AM,03/05/2020 01:00:00 AM,02/28/2020 01:06:46 PM,"Mayor's Office of Film, Theatre & Broadcasting","QUEENS BOULEVARD between 83 AVENUE and VAN WYCK EXPRESSWAY,  82 AVENUE between 126 STREET and 132 STREET",Queens,9,102,Television,Episodic series,United States of America,11415
535352,Rigging Permit,03/04/2020 08:30:00 AM,03/04/2020 02:00:00 PM,02/28/2020 03:13:00 PM,"Mayor's Office of Film, Theatre & Broadcasting",WASHINGTON PLACE between BROADWAY and MERCER STREET,Manhattan,2,6,Student,Not Applicable,United States of America,10003
535540,Shooting Permit,03/04/2020 08:30:00 AM,03/04/2020 08:00:00 PM,03/02/2020 08:35:15 AM,"Mayor's Office of Film, Theatre & Broadcasting",105 STREET between JAMAICA AVENUE and 86 AVENUE,Queens,9,102,Film,Feature,United States of America,11418
535330,Shooting Permit,03/04/2020 09:00:00 AM,03/05/2020 01:00:00 AM,02/28/2020 02:10:45 PM,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST  103 STREET and EAST  104 STREET,  5 AVENUE between EAST  104 STREET and EAST  105 STREET,  EAST  103 STREET between 5 AVENUE and MADISON AVENUE,  EAST  104 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST  102 STREET and EAST  104 STREET,  MADISON AVENUE between EAST  104 STREET and EAST  105 STREET,  MADISON AVENUE between EAST  103 STREET and EAST  104 STREET,  EAST  104 STREET between MADISON AVENUE and PARK AVENUE,  EAST   82 STREET between LEXINGTON AVENUE and 3 AVENUE,  LEXINGTON AVENUE between EAST   82 STREET and EAST   83 STREET,  LEXINGTON AVENUE between EAST   81 STREET and EAST   82 STREET,  EAST   81 STREET between PARK AVENUE and 3 AVENUE,  EAST   82 STREET between 2 AVENUE and 3 AVENUE,  EAST  103 STREET between LEXINGTON AVENUE and PARK AVENUE",Manhattan,"11, 64, 8","19, 22, 23",Television,Cable-episodic,United States of America,"10028, 10029"
534973,Shooting Permit,03/04/2020 09:00:00 AM,03/05/2020 03:00:00 AM,02/27/2020 10:28:04 AM,"Mayor's Office of Film, Theatre & Broadcasting","BEVERLY ROAD between EAST   18 STREET and OCEAN AVENUE,  BEVERLY ROAD between OCEAN AVENUE and EAST   21 STREET,  EAST   19 STREET between BEVERLY ROAD and CORTELYOU ROAD",Brooklyn,14,70,Film,Feature,United States of America,11226
535264,Shooting Permit,03/04/2020 11:00:00 AM,03/05/2020 02:00:00 AM,02/28/2020 11:17:01 AM,"Mayor's Office of Film, Theatre & Broadcasting","CALYER STREET between JEWEL STREET and HUMBOLDT STREET,  JEWEL STREET between CALYER STREET and MESEROLE AVENUE,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  MESEROLE AVENUE between JEWEL STREET and MOULTRIE STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
535550,Shooting Permit,03/04/2020 12:00:00 PM,03/04/2020 10:00:00 PM,03/02/2020 09:43:48 AM,"Mayor's Office of Film, Theatre & Broadcasting",EAST  140 STREET between WALNUT AVENUE and BRUCKNER BOULEVARD,Bronx,1,40,Television,Episodic series,United States of America,10454
535888,Rigging Permit,03/04/2020 09:00:00 PM,03/05/2020 05:00:00 PM,03/03/2020 09:52:01 AM,"Mayor's Office of Film, Theatre & Broadcasting",COURT STREET between BRYANT STREET and DEAD END,Brooklyn,6,76,Television,Episodic series,United States of America,11231
535078,Theater Load in and Load Outs,03/05/2020 12:01:00 AM,03/07/2020 11:59:00 PM,02/27/2020 02:34:34 PM,"Mayor's Office of Film, Theatre & Broadcasting",7 AVENUE between WEST   57 STREET and WEST   56 STREET,Manhattan,5,18,Theater,Theater,United States of America,"10019, 10106"
535206,Theater Load in and Load Outs,03/05/2020 12:01:00 AM,03/06/2020 11:59:00 PM,02/28/2020 09:08:55 AM,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
535203,Theater Load in and Load Outs,03/05/2020 12:01:00 AM,03/05/2020 11:59:00 PM,02/28/2020 09:06:21 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
535685,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 07:00:00 PM,03/02/2020 02:00:22 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   36 STREET between 6 AVENUE and 5 AVENUE,Manhattan,5,14,Commercial,Commercial,United States of America,10018
534387,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 11:00:00 PM,02/24/2020 05:07:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND AVENUE between GATES AVENUE and PUTNAM AVENUE,  PUTNAM AVENUE between GRAND AVENUE and DOWNING STREET,  MADISON STREET between CLASSON AVENUE and FRANKLIN AVENUE",Brooklyn,"2, 3","79, 88",Film,Feature,United States of America,11238
535766,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 09:00:00 PM,03/02/2020 04:49:13 PM,"Mayor's Office of Film, Theatre & Broadcasting","CRESCENT STREET between 23 AVENUE and 24 AVENUE,  23 STREET between DITMARS BOULEVARD and 23 AVENUE,  23 AVENUE between 24 STREET and CRESCENT STREET,  24 STREET between 24 AVENUE and 23 AVENUE,  23 AVENUE between 23 STREET and CRESCENT STREET,  24 STREET between DITMARS BOULEVARD and 23 AVENUE,  24 AVENUE between 21 STREET and 23 STREET,  23 AVENUE between 23 STREET and 24 STREET,  23 AVENUE between 24 STREET and CRESCENT STREET",Queens,1,114,Television,Episodic series,United States of America,"11102, 11105"
535756,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 07:00:00 PM,03/02/2020 04:23:44 PM,"Mayor's Office of Film, Theatre & Broadcasting","GERRITSEN AVENUE between SEBA AVENUE and LOIS AVENUE,  GERRITSEN AVENUE between LOIS AVENUE and DEAD END",Brooklyn,"15, 18","61, 63",Still Photography,Not Applicable,United States of America,11229
535356,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 11:00:00 PM,02/28/2020 03:16:59 PM,"Mayor's Office of Film, Theatre & Broadcasting","FLUSHING AVENUE between CLINTON AVENUE and WAVERLY AVENUE,  WAVERLY AVENUE between FLUSHING AVENUE and PARK AVENUE",Brooklyn,2,88,Film,Feature,United States of America,11205
535135,Shooting Permit,03/05/2020 06:00:00 AM,03/05/2020 10:00:00 PM,02/27/2020 04:15:51 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAGLE STREET between WEST STREET and FRANKLIN STREET,  WEST STREET between EAGLE STREET and FREEMAN STREET,  FREEMAN STREET between WEST STREET and FRANKLIN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
535590,Shooting Permit,03/05/2020 07:00:00 AM,03/05/2020 10:00:00 PM,03/02/2020 11:38:26 AM,"Mayor's Office of Film, Theatre & Broadcasting","RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET,  NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11222
535795,Shooting Permit,03/05/2020 07:00:00 AM,03/05/2020 11:00:00 PM,03/02/2020 05:57:47 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  GREENPOINT AVE. between RAILROAD AVE. and DEAD END.",Brooklyn,"1, 2","108, 94",Television,Cable-episodic,United States of America,"11101, 11222"
535555,Shooting Permit,03/05/2020 07:00:00 AM,03/05/2020 09:00:00 PM,03/02/2020 09:50:27 AM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between ELDERT STREET and COVERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
535551,Rigging Permit,03/05/2020 07:00:00 AM,03/05/2020 07:00:00 PM,03/02/2020 09:43:58 AM,"Mayor's Office of Film, Theatre & Broadcasting",CROSBY STREET between BROOME STREET and GRAND STREET,Manhattan,2,5,Television,Episodic series,United States of America,10013
535306,Shooting Permit,03/05/2020 08:00:00 AM,03/06/2020 01:00:00 AM,02/28/2020 01:07:32 PM,"Mayor's Office of Film, Theatre & Broadcasting","QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 ST between QUEENS PLAZA SOUTH and 43 AVENUE,  43 AVENUE between 21 STREET and 22 STREET,  21 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,2,108,Television,Episodic series,United States of America,11101
