CRASH DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/03/2020,16:40,BROOKLYN,11220,40.637962,-74.01058,"(40.637962, -74.01058)",58 STREET                       ,7 AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4364011,Station Wagon/Sport Utility Vehicle,Box Truck,,,
11/03/2020,17:55,QUEENS,11103,40.76861,-73.91113,"(40.76861, -73.91113)",,,24-31     STEINWAY STREET               ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4364070,Station Wagon/Sport Utility Vehicle,Bike,,,
11/03/2020,15:15,QUEENS,11367,40.741688,-73.824554,"(40.741688, -73.824554)",,,142-48    HORACE HARDING EXPRESSWAY     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4363980,Sedan,Sedan,Sedan,,
11/03/2020,18:30,BRONX,10458,40.861668,-73.89134,"(40.861668, -73.89134)",,,400       EAST FORDHAM ROAD             ,1,0,1,0,0,0,0,0,Unspecified,,,,,4364150,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,15:20,MANHATTAN,10017,40.75457,-73.97169,"(40.75457, -73.97169)",3 AVENUE                        ,EAST 48 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4364274,Sedan,Sedan,,,
11/03/2020,18:34,BRONX,10472,40.831875,-73.86636,"(40.831875, -73.86636)",WESTCHESTER AVENUE              ,BEACH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4364295,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,0:01,MANHATTAN,10011,40.73988,-73.99872,"(40.73988, -73.99872)",WEST 16 STREET                  ,7 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4364298,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,14:45,QUEENS,11354,40.75814,-73.83517,"(40.75814, -73.83517)",ROOSEVELT AVENUE                ,JANET PLACE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4364182,Sedan,E-Scooter,,,
11/03/2020,7:30,BROOKLYN,11207,40.670727,-73.88609,"(40.670727, -73.88609)",SUTTER AVENUE                   ,JEROME STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4363810,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,17:40,QUEENS,11428,40.71948,-73.74557,"(40.71948, -73.74557)",93 AVENUE                       ,214 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4363985,Sedan,Sedan,,,
11/03/2020,15:15,BROOKLYN,11228,40.617886,-74.01712,"(40.617886, -74.01712)",11 AVENUE                       ,84 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363987,Sedan,,,,
11/03/2020,7:00,BRONX,10462,40.830597,-73.84442,"(40.830597, -73.84442)",ZEREGA AVENUE                   ,WATSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363867,Pick-up Truck,Sedan,,,
11/03/2020,9:00,BRONX,10459,40.824387,-73.901184,"(40.824387, -73.901184)",EAST 165 STREET                 ,UNION AVENUE,,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,,,,4364052,Dump,Sedan,,,
11/03/2020,16:25,MANHATTAN,10021,40.771103,-73.96383,"(40.771103, -73.96383)",EAST 72 STREET                  ,PARK AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4364087,Sedan,Bike,,,
11/03/2020,12:25,QUEENS,11355,40.75667,-73.828804,"(40.75667, -73.828804)",MAIN STREET                     ,SANFORD AVENUE,,1,0,1,0,0,0,0,0,Other Vehicular,,,,,4363877,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,13:00,BROOKLYN,11233,40.68549,-73.924255,"(40.68549, -73.924255)",,,786       HANCOCK STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4364266,Sedan,,,,
11/03/2020,14:40,STATEN ISLAND,10306,40.58009,-74.11392,"(40.58009, -74.11392)",,,2205      RICHMOND ROAD                 ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4364018,Sedan,,,,
11/03/2020,11:25,QUEENS,11693,40.586685,-73.81486,"(40.586685, -73.81486)",,,91-17     ROCKAWAY BEACH BOULEVARD      ,0,0,0,0,0,0,0,0,Backing Unsafely,Passing or Lane Usage Improper,,,,4363861,Bus,Tractor Truck Gasoline,,,
11/03/2020,21:16,BROOKLYN,11213,40.66705,-73.94241,"(40.66705, -73.94241)",,,351       KINGSTON AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363990,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,12:43,BRONX,10473,40.82367,-73.84596,"(40.82367, -73.84596)",LAFAYETTE AVENUE                ,HAVEMEYER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4364289,Sedan,,,,
11/03/2020,15:30,BROOKLYN,11207,40.666443,-73.88275,"(40.666443, -73.88275)",,,927       LIVONIA AVENUE                ,1,0,0,0,0,0,1,0,Physical Disability,Unspecified,Unspecified,,,4364204,Sedan,Sedan,Sedan,,
11/03/2020,9:32,BROOKLYN,11225,40.665176,-73.946655,"(40.665176, -73.946655)",,,547       MONTGOMERY STREET             ,0,0,0,0,0,0,0,0,Unspecified,,,,,4364007,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,6:40,QUEENS,11413,40.681946,-73.73827,"(40.681946, -73.73827)",130 AVENUE                      ,229 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4363808,Sedan,Sedan,,,
